jpyj	戒严
jpkz	解扣
jpqi	解气
ydbd	鱼肚白
jpuz	解手
jpre	解热
jngv	角柜
jnpn	角票
jnlz	角楼
jpgz	解构
jpmg	解梦
jpfa	解乏
iutz	锄头
jndz	角斗
jnmf	角门
iumw	触媒
iujm	锄奸
jpti	解体
jprf	解任
jprf	解人
jnhx	角化
jplj	解缆
jpyt	解约
jpyi	解疑
jpyi	解译
jpyi	解衣
jpdn	解调
jpmi	解谜
xpgc	蟹膏
iuvf	触诊
vfui	针式
vfxp	镇邪
mgqu	名过其实
vfqu	镇区
vfks	针孔
vffu	镇服
vfjn	针脚
lddm	乐颠颠
dcve	独裁者
jqvv	急起直追
vfxk	针形
mvyu	名震一时
vffa	针法
jiti	金城汤池
vfri	镇日
mvvw	名震中外
tqgl	兔起鹘落
dfmz	独夫民贼
vffg	针锋
vffj	镇反
jibl	急赤白脸
vfva	针扎
itji	铲土机
vglz	钟鼓楼
vfbi	针鼻
vfts	针筒
lwue	镭射
vfgr	针管
vfww	镇委
vfts	镇痛
vftz	针头
wdrf	外地人
dyhx	多元化
vfxm	针线
vfvi	针织
vfvi	镇纸
vfji	针剂
xuci	象声词
dyly	多元论
wlgs	外来工
lucd	鲁菜
ybiu	印出
mbfh	猛不防
ybba	印巴
yuia	鱼叉
xmyz	鲜有
yuiy	鱼唇
yusd	鱼腮
yujn	鱼胶
pudi	铺地
yugj	鱼干
yulw	鱼雷
grfu	鳏夫
puxx	铺下
mbvu	名不正则言不顺
yupi	鱼皮
fbuh	犯不上
qmyj	钱眼
yuii	鱼池
lbbo	鳞波
yuuv	鱼水
yuyz	鱼油
ybni	印泥
xmho	鲜活
xmry	鲜润
yuxx	鱼虾
jbxz	急不暇择
xmgo	鲜果
ybjm	印鉴
xmww	鲜味
dyqi	钝器
dyxl	钝响
lugo	鲁国
lbjx	鳞甲
pugv	铺轨
gqqu	钢琴曲
yugu	鱼骨
xmbw	鲜贝
xmjm	鲜见
yufj	鱼贩
bcts	鲍彤
puvj	铺展
luxy	鲁迅
xmdj	鲜蛋
lbxp	鳞屑
ybuu	印书
ybfa	印发
yuww	鱼尾
ybuu	印数
yuff	鱼粉
xxzi	象形字
gqjx	钢琴家
mvug	名至实归
puif	铺衬
ybse	印色
liyu	鲤鱼
ybxi	印玺
yuer	鱼饵
yulb	鱼鳞
yugz	鱼钩
pupd	铺排
gdvi	钙质
lbvc	鳞爪
ybvi	印制
jbhr	金不换
yubd	鱼白
lyuz	留一手
ybmo	印模
qmqr	钱权
ybbf	印本
ybji	印机
pubj	铺板
xmtm	鲜甜
qmzu	钱租
yupm	鱼片
ybde	怨不得
yuvs	鱼种
qmbi	钱币
mbfu	名不符实
yutz	鱼头
ybci	印次
ybhf	印痕
xmlk	鲜灵
yuqy	鱼群
yuwj	鱼丸
ybxb	印信
ybuz	印绶
yugr	鱼贯
whxm	外环线
xmlv	鲜绿
ybwf	印纹
qmvl	钱庄
pujq	铺就
ybji	印迹
xmll	鲜亮
pudi	铺底
pufh	铺放
ybpu	印谱
yuyk	鱼鹰
jyly	金玉良缘
vdgs	钟点工
wdfj	外藩
wdgs	外功
wdqp	外切
wdzi	外子
wdyb	外阴
wder	外耳
wdlm	外联
zrjb	钻劲
zrtd	钻台
wdyz	外有
wdfu	外服
wdtd	外胎
wdxm	外县
wdyu	外域
wdjn	外教
wdbu	外埠
wdhr	外环
mhxu	猛虎下山
dcyj	独此一家
wdpi	外皮
wdpb	外频
wdtj	外滩
wduv	外水
zrds	钻洞
wdlz	外漏
wdtc	外逃
wdyi	外溢
wdye	外野
wdyu	外遇
wddm	外电
wdxm	外显
wdxk	外星
wdjk	外景
wdlu	外路
wdhr	外患
wdui	外史
wdqr	外圈
wdzw	外贼
wdwu	外屋
wdyj	外烟
wdyj	外焰
wdjx	外家
wdkz	外寇
wdjy	外军
wdke	外客
wdku	外裤
zrxt	钻穴
wdho	外祸
wdjn	外角
wdqm	外欠
wduz	外手
wdkl	外框
zrgj	钻杆
wdxl	外相
zrji	钻机
wdxn	外校
hpjb	猴皮筋
wdwu	外务
wdfj	外翻
wdwu	外物
wdvi	外痔
wduh	外商
wdqb	外亲
wddc	外道
wdjq	外舅
wdxk	外姓
wdjp	外借
wdqk	外倾
wdjk	外经
wdyb	外引
imju	触目皆是
wdxl	外乡
wdyr	外缘
wdxm	外弦
zril	钻床
wdfh	外方
jusa	金沙萨
erya	尔雅
erer	尔耳
jlyj	急流勇进
letj	乐坛
leug	乐声
xndc	销到
leli	乐理
ercc	尔曹
erld	迩来
soyj	锁眼
jujl	金沙江
leii	乐池
wyyz	乌油油
wllq	乌溜溜
leui	乐师
xnlu	销路
sogo	锁国
lekd	乐凯
xnvh	销账
leye	乐业
xnyj	销烟
mgdg	镁光灯
soyc	锁钥
xndk	销钉
leer	乐儿
erhz	尔后
lewu	乐舞
ddvi	多党制
xnui	销势
myqr	名誉权
lege	乐歌
yuji	饮水机
qxsf	钱学森
erge	尔格
erdg	尔等
lehe	乐和
lelv	乐律
yhxi	银河系
xnwh	销往
ledc	乐道
jguu	金光闪闪
ledr	乐段
ixyd	馋涎欲滴
yyfv	鱼游釜中
xnjx	销假
xnjx	销价
xnho	销货
thil	镗床
lefu	乐府
yicc	刈草
xlxm	象限
xikl	锡矿
xykj	旬刊
xlug	象声
gvke	龟壳
ldii	锂电池
xyri	旬日
lidm	锂电
gvjm	龟鉴
gvjx	龟甲
gvuj	龟山
xkxk	猩猩
gvtu	龟兔
xijb	锡金
mumc	卯是卯
xybc	旬报
grde	狗日的
xivh	锡杖
gvbj	龟板
jhfy	久旱逢甘雨
xlbi	象鼻
xibo	锡箔
gvbw	龟背
yjhv	银监会
xivi	锡纸
uiji	杀虫剂
juui	句式
mkvu	名著
mkif	名臣
yyyf	鱼跃鸢飞
mkyi	名医
mkia	名茶
mmvi	免职
gzjb	够劲
mmyu	免予
gotd	锅台
mmyj	免验
mkiu	名厨
gowj	锅碗
mkjn	名脚
mkug	名胜
tuto	兔脱
vsta	钟塔
mkig	名城
lvtu	铝土
mkui	名士
yiqu	逸趣
mmjb	免进
vsgu	钟鼓
vsug	钟声
mkjn	名教
mmxk	免刑
yiui	逸事
lvpi	铝皮
vsdm	钟点
vsdk	钟鼎
mmth	免烫
mkyt	名曰
gzww	够味
mkpb	名品
mkhr	名唤
mkie	名车
mmli	勉力
mkju	名剧
mmuz	免收
giui	狗吃屎
gozc	锅灶
mkyj	名烟
gzuu	够数
golu	锅炉
mmgr	免冠
mmgr	免官
mkvi	名之
mkui	名实
mksu	名宿
mkui	名氏
yile	逸乐
goij	锅铲
mmdn	免掉
lvvi	铝制
mkuz	名手
mkxl	名相
vslz	钟楼
mkji	名籍
tumc	兔毛
lvbo	铝箔
mmyi	免役
mkpm	名篇
yiwf	逸闻
mkjl	名将
mkci	名次
mkij	名产
mkji	名妓
gzql	够戗
mkyz	名优
mkru	名儒
mkqi	名企
mkww	名位
mmui	免试
judu	句读
yiui	银川市
zgll	锃亮
juhx	句话
mkyj	名谚
vszo	钟座
lmui	链式
lmzi	链子
jxyj	钾盐
loug	锣声
dbxk	多边形
lmqq	链球
dlie	独轮车
lmgv	链轨
lmly	链轮
wwsd	外围赛
lmso	链锁
wglc	外国佬
wgyu	外国语
fujk	负荆
tsjl	铜匠
fuhe	负荷
tslk	铜陵
kfvy	狂风骤雨
fuyz	负有
jgui	金刚石
mudi	名山大川
tskl	铜矿
muui	名山胜川
qmfg	铅封
fuqi	负起
qmkk	铅块
tsyr	铜元
fuyu	负于
qmqq	铅球
kfel	狂风恶浪
ghuv	钢水
ghva	钢渣
ghll	钢梁
fudm	负电
tsqi	铜器
tsir	铜川
ghqr	钢圈
ghly	钢轮
fulw	负累
ghgu	钢骨
fuqu	负屈
fuqk	负情
nadg	钠灯
fuuu	负数
qmzi	铅字
fuan	负案
ghil	钢窗
ghvu	钢铸
ghvf	钢针
qmyb	铅印
ghdk	钢锭
tgvv	铁骨铮铮
ghdk	钢钉
tsxq	铜锈
tsjk	铜镜
fuqm	负欠
tsvi	铜质
ghvc	钢爪
ghvi	钢制
fuqi	负气
fuji	负极
ghcd	钢材
tsbj	铜板
ghql	钢枪
fuis	负重
tsbo	铜箔
ghvs	钢种
tsbi	铜币
ghtn	钢条
ghpk	钢瓶
dcuj	多财善贾
jgnm	金刚怒目
fuvi	负值
tsrf	铜仁
tsxl	铜像
ghhx	钢化
ghlj	钢缆
fuyt	负约
qmtj	铅弹
tslv	铜绿
fuyi	负义
bcgs	包工
bcch	包藏
bcvj	饱蘸
bcyy	包蕴
pciu	刨除
ybma	饮马
wuji	乌鸡
rcyz	饶有
bczd	包在
bcmo	包膜
ybfu	饮服
bkfw	饼肥
jiih	饥肠
bcuz	饱受
ybys	饮用
pctu	刨土
bcqi	包起
uigo	饰过
bcjn	包教
pckg	刨坑
jukd	锯开
jumo	锯末
dyyr	独异于人
bcpi	包皮
bchj	包涵
bcvi	包治
uiyj	饰演
bcih	饱尝
wuhd	乌海
ijxm	馋涎
ybqi	饮泣
ybyu	饮誉
bcnr	饱暖
bcli	包里
bclj	饱览
bcxi	饱吸
yupb	印刷品
ybpb	饮品
uipb	饰品
jmbp	饯别
siww	饲喂
bcyr	包圆
jjfg	急惊风
grnw	馆内
jimb	饥民
wufa	乌发
ybhf	饮恨
fjli	饭粒
yith	饴糖
jgli	久惯牢成
jihj	饥寒
ybyj	饮宴
jise	饥色
tbtq	铁壁铜墙
fjpu	饭铺
bcxn	包销
fjgo	饭锅
wujb	乌金
bcvg	包拯
nqkz	钮扣
wula	乌拉
bcji	包机
wumu	乌木
wumw	乌梅
grih	馆长
fjxl	饭香
bcuf	包身
bcgr	包管
uiwu	饰物
bcig	包乘
jxbk	急性病
bcjm	包间
bcuh	包商
bcij	包产
bchc	包好
pcdc	刨刀
grue	馆舍
bcxq	包修
bcho	包伙
fqhy	负屈含冤
bcni	包你
lqff	馏分
bcgu	包谷
uihx	蚀化
bchj	饱含
bcjk	饱经
kvxm	馈线
bcfg	包缝
ybtj	饮弹
wulv	乌绿
bcgw	包给
bcxi	包席
siyu	饲育
fjvl	饭庄
bcdu	饱读
uike	蚀刻
wull	乌亮
pcil	刨床
hmbx	昏迷不醒
vikc	炙烤
smmi	色迷迷
lzks	镂空
durf	多数人
dmno	多米诺
lzke	镂刻
lbxy	鲁宾逊
gggd	鳏寡孤独
dujn	多神教
mgvc	免冠照
ybgr	迎宾馆
muxf	名实相副
taru	铁案如山
ybyr	夤缘
jbgs	金工
doxl	多项
qbjk	钦敬
jbjl	金匠
jbhx	金花
jbbm	金匾
jblk	金陵
doks	多孔
djxi	独角戏
dong	多能
jbji	金鸡
jbui	金石
dozd	多在
doda	多达
detd	狄尔泰
jbkl	金矿
dovi	多脂
doyu	多雨
doyr	多元
docd	多才
dodc	多到
doyu	多于
jbhr	金环
doci	多刺
doqi	多妻
jbyu	金玉
docj	多餐
dnju	钓具
jyzu	金印紫绶
jbth	金汤
gzif	钩沉
jbdp	金蝶
doui	多时
gzis	钩虫
jbih	金昌
jbgo	金果
jbxk	金星
jbqi	金器
dogo	多国
dojx	多加
dobm	多边
jbqu	金曲
dovr	多赚
jbdj	金丹
douz	多收
qvuu	钱钟书
jbff	金粉
jbzi	金字
dozd	多灾
doli	多礼
doer	多尔
jbgx	金瓜
jbvi	金质
jbuz	金手
mcjp	铆接
dovi	多指
jbvi	金枝
jbbw	金杯
jbqn	金桥
ycci	爻辞
dnir	钓船
dngj	钓竿
jbbo	金箔
dode	多得
jbqq	金秋
dogr	多管
dodr	多端
jbjl	金奖
jbil	金疮
jbmf	金门
dozo	多做
qbyh	钦仰
doww	多位
doff	多分
jbhx	金华
jblk	金领
doji	多级
doww	多维
jbsi	金丝
jbdm	金店
doyi	多义
jbys	金庸
jyzo	钧座
mkwf	铭文
tpgs	铁工
jbkv	锦葵
dzzi	兜子
wfjk	刎颈
tpqi	铁骑
tpts	铁通
tpma	铁马
tphv	铁灰
xlke	希拉克
dldq	独揽大权
hudi	忽地
wuds	勿动
suhy	色授魂与
tpqk	铁青
jtbj	久拖不决
csju	匆遽
jbjl	锦江
tphj	铁汉
tpfa	铁法
tpuv	铁水
wulj	勿滥
slyz	色拉油
nqdi	镍氢电池
myvw	名扬中外
bdtk	包打听
tpjx	铁甲
tpgu	铁骨
tpxp	铁屑
jbpc	锦袍
tpan	铁案
tpqm	铁钳
ybse	银白色
tpgz	铁钩
tpdk	铁钉
tpuc	铁勺
tpvi	铁质
dzbu	兜捕
tpnq	铁牛
dzlj	兜揽
tpgh	铁杠
jbbn	锦标
jbxi	锦西
tpva	铁栅
tpqn	铁桥
tpvu	铁柱
tpls	铁笼
tppm	铁片
tpgr	铁管
tpgu	铁箍
tpxl	铁箱
tpbi	铁笔
wuru	勿入
tpva	铁闸
jbhx	锦华
jbgr	锦纶
jbyi	锦衣
hubm	忽变
tpil	铁床
jbvz	锦州
jbqi	锦旗
jnzo	金牛座
uajp	杀戒
qktu	钱可通神
wjgj	危机感
dkpa	钉耙
uaqu	杀去
uajb	杀进
uaih	杀场
tukh	铁树开花
uadc	杀到
boyu	钵盂
jxyv	金相玉质
dkuh	钉上
xlht	锡林浩特
bnui	镖师
dklo	钉螺
kxqu	狂想曲
dkmc	钉帽
dyxk	多样性
uajb	杀尽
jbsd	锦标赛
jqyu	金枪鱼
dljk	多棱镜
ualt	杀掠
uaji	杀机
dmvz	独木舟
uade	杀得
uauf	杀身
iava	刹闸
uijy	弑君
uafa	杀伐
uifu	弑父
jbww	金本位
dyhx	多样化
iavu	刹住
uimu	弑母
xlgl	锡林郭勒
uauu	杀熟
fjjp	犯戒
xtle	希特勒
gldh	逛荡
mfqu	名符其实
yujk	狱警
mggs	猛攻
dxqd	独行其道
mgyc	猛药
duyr	独院
cddv	猜对
yzda	犹大
fjyz	犯有
yzcy	犹存
mgxi	猛袭
vujn	猪脚
hzlm	猴脸
hznc	猴脑
mgdi	猛地
uiig	狮城
vjcl	铢积寸累
juji	狙击
fjgo	犯过
cddc	猜到
tbhx	铜版画
xqbj	锈斑
fjuh	犯上
duyj	独眼
klgr	狂灌
hfvi	狠治
xixt	铣削
klxp	狂泻
glyz	逛游
erui	儿时
klye	狂野
klyy	狂晕
mcmi	猫咪
mgiv	猛吹
lhhc	狼嗥
klxn	狂啸
mghs	猛轰
jnxx	狡黠
duli	独力
duly	独轮
vuzd	猪崽
glhj	犷悍
fjji	犯忌
fjiu	犯怵
mgho	猛火
gldg	逛灯
mgln	猛料
duuz	独守
jxjy	急行军
fjan	犯案
ydan	印第安纳
dujn	独角
gjtg	钢筋铁骨
klyb	狂饮
xqui	锈蚀
dvdy	多种多样
didb	多愁多病
hzji	猴急
mcpu	猫扑
klwu	狂舞
duwu	独舞
klqi	狂气
ivda	锤打
mgvl	猛撞
mgtv	猛推
juqr	解释权
kldk	狂顶
vupg	猪棚
mgxk	猛醒
fjjb	犯禁
vulj	猪栏
xxih	狭长
cdtz	猜透
duxk	独行
fjiz	犯愁
jgfx	急管繁弦
duil	独闯
mgis	猛冲
duzi	独资
duzy	独尊
lhil	狼疮
xxji	狎妓
cdxm	猜嫌
fgrf	锋刃
yzta	犹他
huxm	狐仙
mgvv	猛追
vugr	猪倌
mtyx	名特优新
fjrf	犯人
erhx	儿化
fgxm	锋线
tbvi	铜版纸
yzyi	犹疑
cddu	猜度
cdmi	猜谜
lhhc	狼毫
xiil	铣床
erlh	儿郎
jkxx	镜匣
yyiu	匀出
jktd	镜台
qidi	钦差大臣
mwua	镁砂
ztmf	钻头觅缝
ijtu	铲土
jdui	角斗士
rvzg	锐增
ijxt	铲雪
bidh	包产到户
rvbu	锐步
rvyj	锐眼
mwgl	镁光
wlht	乌兰浩特
rvqi	锐器
syyr	饲养员
ijie	铲车
jkjx	镜架
mwxe	名闻遐迩
mwff	镁粉
wlib	乌兰察布
wjjx	外交家
tjjy	铁将军
wjgr	外交官
yyui	匀实
hthn	昏头昏脑
xmyu	鲜鱼
jnlm	铰链
ttte	铜头铁额
qlql	锵锵
jnjp	铰接
jkkl	镜框
tjyi	铁交椅
jpmw	金瓶梅
yyhe	匀和
jkts	镜筒
jkxl	镜箱
rvmb	锐敏
dtgl	兜头盖脸
wjbu	外交部
dujh	岛瘦郊寒
yyjk	匀净
ijdc	铲刀
vtxn	针头线脑
btui	包头市
jjfa	解决方案
vmsi	詹姆斯
iuju	雏菊
ybjl	银匠
iuyj	雏燕
ybhx	银花
vgfh	争芳
yber	银耳
vmxy	詹姆逊
jipb	急聘
jivz	急骤
jiui	急驶
iuji	雏鸡
jinj	急难
vgyj	争艳
ybhv	银灰
enix	儿女成行
vgiy	争春
ybkl	银矿
ybyt	银月
vgvu	争逐
vglm	争脸
jixu	急需
jiyu	急雨
jijb	急进
ybyr	银元
ybul	银霜
jiyu	急于
ybhr	银环
jiui	急事
jisu	急速
ybvj	银盏
ybll	银两
jiju	急遽
jibu	急步
vgvj	争战
jiyj	急眼
ybhj	银汉
jitr	急湍
vgdh	争当
jilq	急流
vzjb	皱紧
ynkf	怨女旷夫
uaui	煞是
jidm	急电
jrxh	急如星火
sjuk	色即是空
ybqi	银器
vgmk	争鸣
jivr	急转
ybyr	银圆
vgbj	争办
mutm	猫鼠同眠
ybuj	银山
vggz	争购
jiju	急剧
ybxp	银屑
jixk	急性
ybff	银粉
vgis	争宠
jmke	键客
jian	急案
uauf	煞神
ybvu	银铸
hqgd	狐群狗党
jmmk	键名
jmnq	键钮
ybdk	银锭
jiia	急刹
vgfg	争锋
jiua	急煞
iunn	雏鸟
vgii	争持
vgqi	争气
vgqr	争权
vgdk	争顶
ybbw	银杯
vgxl	争相
ybxk	银杏
yblz	银楼
ybql	银枪
jivi	急智
jide	急得
jiwu	急务
ybbi	银币
vghg	争衡
ybtn	银条
jmru	键入
jibk	急病
jiis	急冲
ybjl	银奖
gnyd	狗娘养的
vzhf	皱痕
iuji	雏妓
ybhy	银婚
exfu	儿媳妇
vgyz	争优
jmvi	键值
jijm	急件
vgff	争分
vgjx	争价
ybhs	银红
ybxm	银线
ybua	银纱
uafw	煞费
vgql	争强
vzso	皱缩
vzvi	皱纸
ybsi	银丝
ybvg	银证
vggc	争高
jibm	急变
ybll	银亮
qmxb	欠薪
vvzi	锥子
qmle	欠了
gzdv	狗仔队
gnhz	狗拿耗子
drya	锻压
vvmm	锥面
lkgu	铃鼓
vvxk	锥形
qmxx	欠下
xbld	希伯来
xuyk	销售一空
xudm	销售点
wfbi	外分泌
qmdh	欠当
lkis	铃虫
buny	饱食暖衣
fhqi	孵化器
xuyr	销售员
lkxl	铃响
fvll	负债累累
uuli	杀伤力
dens	狄俄尼索斯
yvis	鱼传尺素
dixk	独创性
vvxb	锥心
qmho	欠火
qman	欠安
lhjb	铝合金
drtp	锻铁
urfj	杀人犯
drda	锻打
drmo	锻模
lkmu	铃木
qmuf	欠身
qmuv	欠税
lklj	铃兰
qmzi	欠资
myxb	名优新
qmij	欠产
lyyz	乐悠悠
qmuf	欠伸
qrxu	铨叙
qmjn	欠缴
qmbm	欠扁
vjwl	铸剑为犁
jlyy	金缕玉衣
jsqt	金丝雀
vvpb	针织品
wynl	外引内联
jxuh	锦绣山河
tswh	铁丝网
ufxj	煞费心机
xhse	鲜红色
vxbc	针线包
jshz	金丝猴
wjmc	外经贸
pvyl	铺张扬厉
xhre	猩红热
mjls	名缰利锁
vvwu	针织物
jxqi	锦绣前程
wxrf	外乡人
gsug	钢丝绳
gsil	钢丝床
xlya	镶牙
jqmu	久慕
lqsu	留苏
lqyk	留英
jfqu	解放区
lqqu	留取
lqvi	留职
fuiu	孵出
lqdv	留队
lqma	遛马
jqyi	久矣
lqnj	留难
lqvu	留驻
lrui	卵石
dfmm	多方面
lqig	留成
dcjn	岛礁
suai	色衰爱弛
dcig	岛城
lqqi	留起
nnug	鸟声
ydjn	印度教
hywd	昏庸无道
ydvn	印度支那
lrxk	卵形
lqdc	留到
lqdm	留点
xlmj	镶满
jqvi	久治
jqfa	灸法
lqvi	留滞
fuuv	凫水
lrpc	卵泡
ydyh	印度洋
jqhj	久旱
lqri	留日
yixk	铱星
lqgv	留归
lqzu	留足
jdqi	解调器
juyr	解说员
lqvi	留置
dcgo	岛国
lqbj	留办
ducg	镀层
ydny	印度尼西亚
fudj	孵蛋
lryi	卵翼
jqyi	久已
nnfw	鸟飞
dyzi	多义字
nnhd	鸟害
jvui	急诊室
jqvi	久之
jqan	久安
nnwo	鸟窝
lhdh	锒铛
duxi	镀锡
duxb	镀锌
duyb	镀银
jqjq	久久
nnqi	鸟气
lrbd	卵白
jytu	解衣推食
lybf	留言本
lybj	留言板
nnlb	鸟林
jqih	久长
lqdd	留待
lrug	卵生
lybo	留言簿
lqxl	留香
lqvs	留种
wwwo	勿忘我
wyxi	外语系
jqwf	久闻
lqmw	留美
nnuz	鸟兽
xnuz	枭首
lqmf	留门
nnqy	鸟群
lqvr	留传
lqrf	留任
nnrc	袅绕
jqjk	久经
fuyu	孵育
juci	解说词
bmmh	白茫茫
ugyi	手工艺
bmmg	白蒙蒙
datd	搭台
coda	措大
bgih	兵工厂
vcia	找碴
dabh	搭帮
sisv	撕碎
safw	撒肥
lcyt	捞月
mocd	摸彩
damd	搭脉
uiqu	拭去
idqq	拆东墙补西墙
daqi	搭起
dgve	打工者
gsxk	拱形
sixx	撕下
jubu	拒不
vcui	找事
vcpk	找平
kjsu	抗菌素
dabj	搭班
dauh	搭上
qyuy	缺医少药
uilw	拭泪
dlug	打落水狗
khho	扛活
bmyr	报幕员
mohw	摸黑
dabm	搭边
kztu	抠图
gsqr	拱圈
dajp	搭界
vcve	找辙
juhv	拒贿
gsbi	拱璧
ugye	手工业
tbdl	投鞭断流
silj	撕烂
iaff	搽粉
tlmi	托勒密
dake	搭客
vcbu	找补
zcjn	皂角
sqer	撒切尔
dagz	搭钩
gsvu	拱猪
momo	摸摸
jmze	拣择
jubu	拒捕
dakz	搭扣
vciz	找抽
uica	拭擦
gsbc	拱抱
gsuz	拱手
sala	撒拉
juii	拒斥
gsdk	拱顶
dapg	搭棚
moia	摸查
gsqn	拱桥
dair	搭船
mode	摸得
savs	撒种
saxl	撒向
daig	搭乘
dagd	搭盖
coyi	措意
hqbu	后勤部
fqdx	反其道而行
vcvy	找准
gsmf	拱门
zcli	皂隶
bcxu	拨草寻蛇
dgzd	打工仔
jufu	拒付
fgmk	反革命
daho	搭伙
fgds	反攻倒算
dabj	搭伴
vcia	找岔
dauz	搭售
lsws	拉斯维加斯
jujn	拒缴
vcqi	找齐
vcbm	找遍
coci	措词
vdux	指东说西
vovu	拙著
bcmu	报幕
bcgs	报功
uequ	摄取
bciu	报出
bcyj	报验
bciy	报春
bczd	报载
ueli	摄理
bcxn	报晓
bcui	报时
bcig	报呈
bcgo	报国
bcjx	报架
bcjp	报界
vojm	拙见
bcfj	报贩
bcvh	报账
bcyz	报忧
bcdc	报导
bcuz	报收
bcye	报业
bcln	报料
txjx	探险家
jwjy	近卫军
bcan	报案
ueui	摄氏
bcyr	报怨
bcgr	报馆
bcjp	报捷
klkj	看了看
uevi	摄制
bcui	报失
yeyu	揶揄
vopu	拙朴
bcjb	报禁
bclj	报栏
voue	拙舌
hwjm	护卫舰
ueug	摄生
bcwu	报务
bcif	报称
tqwu	提取物
vobf	拙笨
vobi	拙笔
bcgr	报关
bctz	报头
bcdj	报单
bcvh	报章
bcdr	报端
bcxn	报效
bcjm	报建
vphv	招聘会
bcxq	报修
bcih	报偿
hfxm	后防线
vjnp	招降纳叛
bchx	报话
bcwf	报文
baui	把式
zecd	择菜
gxmn	瓜苗
fjgs	反攻
fjqp	反切
fjgs	反共
zequ	择取
fjle	反了
fjgr	反观
fjgu	反顾
bmfm	白马非马
fjya	反压
tdjn	抬脚
tdai	抬爱
fjba	反霸
ijjb	掺进
zeji	择吉
aigo	挨过
fdve	反对者
bans	把弄
aidc	挨到
fjqk	返青
zeyi	择一
aivg	挨整
bavj	把盏
tdbu	抬步
fjvj	反战
tdyj	抬眼
fjic	返潮
fjuv	反水
tjpd	摊派
bajq	把酒
zeui	择时
fjti	反题
fjri	反日
fjgv	返归
gxye	瓜叶
fjbu	反哺
fjir	反串
vjmg	指鸡骂狗
fjxl	反响
fjyc	反咬
fjww	反胃
fjgo	返国
gxtm	瓜田
aibm	挨边
tdjn	抬轿
fjgh	返岗
wtju	舞台剧
fjdc	反导
uufa	抒发
gxlw	瓜类
fjuh	反熵
aijx	挨家
uuxp	抒写
fjse	反色
fjjn	反角
fjso	反锁
tjxn	摊销
fjxn	返销
baer	把儿
fjiu	反刍
pnjf	排难解纷
tdkh	抬扛
fjkz	反扣
fjdi	返抵
fjpd	反拍
doui	掇拾
aipi	挨批
gxpg	瓜棚
fdpn	反对票
fjxl	反相
tjdh	摊档
fjjb	反禁
zeyc	择要
tdug	抬升
aikc	挨靠
tldv	探骊得珠
fjuf	反身
ijru	掺入
aids	挨冻
fjjm	反剪
aidz	挨斗
fjmw	反美
fjjm	反间
tjuh	摊商
fjdi	反帝
aici	挨次
scyh	搔痒
gxrf	瓜仁
rzhe	揉合
fjce	反侧
ijjx	掺假
tdjx	抬价
fjhx	反华
fjtj	反贪
fjbh	反绑
fjxl	返乡
fjwu	反诬
fjxu	反序
bavd	把斋
fjji	反诘
fjvg	反证
fjwu	反误
aihu	挨户
fjyi	反义
fjhx	反话
bajp	拔节
vfdh	振荡
bayk	拔营
yjbi	掩蔽
lsgs	拢共
baqu	拔取
csjw	攒三聚五
skxy	撒克逊
pdiu	排出
pdxi	排戏
pdbu	排布
pdig	排成
bdfu	拜服
bajn	拔脚
bdjt	拜爵
vfds	振动
lnqi	撩起
pdji	排击
pddc	排到
lndz	撩逗
biyt	抱成一团
pdbj	排班
yjuh	掩上
yjmw	掩没
bdth	拜堂
dpud	打破沙锅问到底
bdmg	拜盟
yjyk	掩映
pdhc	排号
pdqm	排遣
yjkz	掩口
bdhe	拜贺
jsls	接三连四
tabm	拓边
vgli	朱古力
pdyz	排忧
fldr	反垄断
pdpc	排炮
pdln	排料
pdzi	排字
yygh	抑郁寡欢
bdke	拜客
bamc	拔锚
tayb	拓印
pdyb	排印
lfer	拉斐尔
bdjb	拜金
vflk	振铃
bdba	拜把
pddh	排挡
syvi	所有制
pdda	排打
nhsr	牛磺酸
pddh	排档
pdql	排枪
yjbi	掩鼻
bauf	拔身
pdbi	排笔
pdlv	排律
pdfa	排筏
blmv	摆龙门阵
pdtz	排头
pdqm	排前
bdjl	拜将
rcnc	扰闹
jyqf	技压群芳
jyqx	技压群雄
badc	拔刀
baqy	拔群
pdbm	排便
pdou	排偶
lbjh	拉帮结伙
bddu	拜读
bdqk	拜请
ldqp	拉大旗作虎皮
bdye	拜谒
bdui	拜识
bdww	拜为
bdwh	拜望
bdrf	拜认
yrch	援藏
uzyi	授艺
rgvr	扔砖
djui	垫脚石
rgzd	扔在
uzuz	授受
yrys	援用
txtd	挺胸凸肚
uzui	授时
kxqi	扩胸器
uzxy	授勋
ycie	摇车
ycww	摇尾
uzye	授业
uzjk	授精
uzff	授粉
yssd	拥塞
yrwd	援外
tybc	掏腰包
yclk	摇铃
hnuc	后脑勺
ycba	摇把
ychj	摇撼
ivmf	搽脂抹粉
yruz	援手
ycyi	摇椅
ycgj	摇杆
ycxk	摇醒
yrdi	援敌
uztu	授徒
uzpd	授牌
ycuf	摇身
uzxm	授衔
yrbi	援笔
ysru	拥入
uzyi	授意
uzjl	授奖
uzuz	授首
ysli	拥立
yrjm	援建
iybt	持盈保泰
uzmk	授命
yryb	援引
uzgw	授给
uzqi	授旗
jigs	技工
ldgi	掠地攻城
fumn	扶苗
xpyk	撷英
jiyi	技艺
gxhx	挂花
vizi	质子
xpqu	撷取
