饥渴	jike
清洗	qkxi
庆幸	qkxk
清香	qkxl
襁褓	qlbc
黔驴技穷	qljq
巧立名目	qlmm
勤劳致富	qlvf
奇门遁甲	qmdj
虔诚	qmig
青面獠牙	qmly
前年	qmnm
牵手	qmuz
千兆	qmvc
牵着	qmve
欠账	qmvh
潜质	qmvi
亲密无间	qmwj
牵线	qmxm
前言	qmyj
欠揍	qmzz
窍门	qnmf
清清白白	qqbb
清清淡淡	qqdd
起起伏伏	qqff
齐齐哈尔	qqhe
清清爽爽	qquu
卿卿我我	qqww
芊芊玉手	qqyu
求人不如求己	qrbj
全称	qrig
诠释	qrui
齐头并进	qtbj
缺失	qtui
千挑万选	qtwx
情投意合	qtyh
七手八脚	qubj
秋收冬藏	qudc
强身健体	qujt
前世今生	quju
青山绿水	qulu
巧舌如簧	qurh
敲山震虎	quvh
气势汹汹	quxx
趋于	quyu
牵一发而动全身	qyfu
轻言细语	qyxy
人不人鬼不鬼	rbrg
妊娠	rfuf
日复一日	rfyr
如诗如画	rurh
软硬不吃	rybi
所到之处	sdvi
死而不僵	sebj
私房	sifh
死缠烂打	sild
饲料	siln
四季如春	sjri
死记硬背	sjyb
四两拨千斤	slbj
索然无味	srww
松紧	ssjb
松树	ssuu
素菜	sucd
丧失殆尽	sudj
似水流年	suln
四书五经	suwj
三月份	syf
太原	tdyr
天寒地冻	thdd
谈虎色变	thsb
同吃同住	titv
条件反射	tjfu
囤积居奇	tjjq
弹琴	tjqb
偷奸耍滑	tjuh
恬淡	tmdj
填空	tmks
天马行空	tmxk
踏破铁鞋无觅处	tpti
同胞	tsbc
通缉	tsji
同志	tsvi
同室操戈	tucg
徒弟	tudi
投鼠忌器	tujq
太少了	tul
涂脂抹粉	tvmf
他山之石	tuvu
铁石心肠	tuxi
退换	tvhr
弹指一挥间	tvyj
通宵达旦	txdd
兔子不吃窝边草	tzbc
天造地设	tzdu
天姿国色	tzgs
舍不得孩子套不住狼	ubdl
事必躬亲	ubgq
胜败乃兵家常事	ubnu
说曹操曹操到	uccd
鼠肚鸡肠	udji
射箭	uejm
设想	uexl
尚方宝剑	ufbj
神采	ufcd
是非功过	ufgg
神情	ufqk
神色	ufse
顺风顺水	ufuu
深远	ufyr
上个月	ugy
盛会	ughv
省长	ugvh
尸骨未寒	ugwh
生性	ugxk
圣贤	ugxm
声誉	ugyu
神魂颠倒	uhdd
伤痕累累	uhll
赏识	uhui
实话实说	uhuu
事后诸葛亮	uhvl
伤亡	uhwh
商务	uhwu
上限	uhxm
说长道短	uidd
石沉大海	uidh
师范	uifj
师父	uifu
时常	uiih
失控	uiks
势力	uili
石榴	uilq
诗歌	uige
食品	uipb
失陪	uipw
十七	uiqi
市区	uiqu
受宠若惊	uirj
失散	uisj
师出同门	uitm
师长	uivh
食指	uivi
施展	uivj
十五	uiwu
视线	uixm
视野	uiye
事宜	uiyi
试验	uiyj
石油	uiyz
身价百倍	ujbb
拾金不昧	ujbm
伤筋动骨	ujdg
煽动	ujds
舒筋活血	ujhx
十几岁	ujs
陕西	ujxi
身家性命	ujxm
十里不同俗	ulbs
上梁不正下梁歪	ulbw
声泪俱下	uljx
恃强凌弱	uqlr
拾人牙慧	uryh
授人以渔	uryy
身手不凡	uubf
世世代代	uudd
世事洞明	uudm
审时度势	uudu
水深火热	uuhr
书籍	uuji
树立	uuli
顺顺利利	uull
神神秘秘	uumm
树木	uumu
舍生取义	uuqy
声声入耳	uure
孰是孰非	uuuf
省时省力	uuul
生生世世	uuuu
善始善终	uuuv
杀身之祸	uuvh
熟视无睹	uuwd
上上下下	uuxx
稍胜一筹	uuyi
时势造英雄	uuzx
胜之不武	uvbw
身正不怕影子斜	uvbx
失之东隅	uvdy
首战告捷	uvgj
失之交臂	uvjb
实至名归	uvmg
食之无味	uvww
受制于人	uvyr
少之又少	uvyu
顺我者昌	uwvi
双喜临门	uxlm
蛇蝎心肠	uxxi
顺延	uyyj
身在曹营心在汉	uzch
守候	uzhz
稍纵即逝	uzju
十字路口	uzlk
首饰	uzui
受伤	uzuh
手掌	uzvh
收支	uzvi
首位	uzww
收养	uzyh
手艺	uzyi
招摇	vcyc
照单全收	vdqu
掷地有声	vdyu
周而复始	vefu
知法犯法	vfff
侦察	vfia
镇静	vfjk
照方抓药	vfvy
指腹为婚	vfwh
正解	vgjp
政权	vgqr
争执	vgvi
中规中矩	vgvj
至高无上	vgwu
这个月	vgy
正义	vgyi
涨幅	vhfu
追悔莫及	vhmj
致辞	vici
制定	vidk
滞后	vihz
职称	viig
支出	viiu
纸巾	vijb
致敬	vijk
争长论短	vild
智力	vili
知名	vimk
智商	viuh
纸张	vivh
制止	vivi
支柱	vivu
职务	viwu
志向	vixl
直辖	vixx
枝丫	viya
质疑	viyi
职员	viyr
指责	vize
针尖对麦芒	vjdm
战士	vjui
朝九晚五	vjww
战友	vjyz
竹篮打水一场空	vldk
直来直去	vlvq
珍禽异兽	vqyu
众人拾柴火焰高	vrug
终端	vsdr
终极	vsji
终结	vsjp
中指	vsvi
终身大事	vudu
嘱咐	vufu
主观	vugr
著称	vuig
主见	vujm
著书立说	vulu
著名	vumk
仗势欺人	vuqr
诸如	vuru
众矢之的	vuvd
重赏之下，必有勇夫	vuvf
助威	vuww
主义	vuyi
祝愿	vuyr
照章办事	vvbu
战战兢兢	vvjj
长长见识	vvju
整整齐齐	vvqq
智者千虑，必有一失	vvqu
蒸蒸日上	vvru
置之死地而后生	vvsu
知之甚少	vvuu
真真正正	vvvv
支支吾吾	vvww
直系亲属	vxqu
只要功夫深	vygu
睁一只眼，闭一只眼	vyvy
文本文件	wbwj
闻道有先后	wdyh
威风扫地	wfsd
瘟疫	wfyi
为虎作伥	whzi
无坚不摧	wjbc
万劫不复	wjbf
无精打采	wjdc
挽回	wjhv
无计可施	wjku
晚年	wjnm
物竞天择	wjtz
无拘无束	wjwu
蜿蜒	wjyj
无利不起早	wlbz
无利可图	wlkt
歪理邪说	wlxu
为数不多	wubd
无商不奸	wubj
误导	wudc
万事大吉	wudj
蜈蚣	wugs
无故	wugu
为时过早	wugz
无理	wuli
忤逆	wuni
万水千山	wuqu
无事生非	wuuf
午睡	wuuv
畏手畏脚	wuwj
无时无刻	wuwk
畏首畏尾	wuww
诬陷	wuxm
无暇	wuxx
握手言和	wuyh
无疑	wuyi
勿施于人	wuyr
巫山云雨	wuyy
瓮中之鳖	wvvb
文无第一	wwdy
物我两忘	wwlw
卫冕	wwmm
歪歪扭扭	wwnn
围棋	wwqi
弯弯曲曲	wwqq
玩物丧志	wwsv
完完整整	wwvv
唯物主义	wwvy
呜呜呜	www
猥亵	wwxp
万无一失	wwyu
五味杂陈	wwzi
妄下断语	wxdy
惟有饮者留其名	wyym
心急	xbji
心理	xbli
小不忍则乱大谋	xbrm
心比天高	xbtg
刑不上大夫	xbuf
心声	xbug
邪不胜正	xbuv
虾兵蟹将	xbxj
新兴	xbxk
心仪	xbyi
想东想西	xdxx
相得益彰	xdyv
星光灿烂	xgcl
新陈代谢	xidx
西郊	xijn
洗礼	xili
悉尼	xini
吸取	xiqu
稀释	xiui
洗漱	xiuu
相差甚远	xiuy
洗手	xiuz
相差无几	xiwj
喜出望外	xiww
悉心	xixb
戏谑	xixt
蜥蜴	xiyi
席卷一空	xjyk
性命	xkmk
形势	xkui
笑里藏刀	xlcd
降龙伏虎	xlfh
血流成河	xlih
橡胶	xljn
星罗棋布	xlqb
镶嵌	xlqm
血流如注	xlrv
泄露天机	xltj
心领神会	xluh
想来想去	xlxq
向下	xlxx
笑脸相迎	xlxy
响应	xlyk
吓了一跳	xlyt
显露	xmlu
现实	xmui
献身	xmuf
蓄谋已久	xmyj
心满意足	xmyz
笑声	xnug
嚣张	xnvh
小鸟依人	xnyr
血浓于水	xnyu
懈怠	xpdd
血盆大口	xpdk
亵玩	xpwj
写字	xpzi
贤妻良母	xqlm
小桥流水	xqlu
休整	xqvg
心如刀绞	xrdj
旭日东升	xrdu
血型	xtxk
血液	xtye
心神不宁	xubn
形势比人强	xubq
心神恍惚	xuhh
酗酒	xujq
喜上眉梢	xumu
修身养性	xuyx
修修补补	xxbb
心绪不宁	xxbn
絮絮叨叨	xxdd
险象环生	xxhu
瞎扯	xxie
新鲜出炉	xxil
相形见绌	xxji
稀稀拉拉	xxll
寻寻觅觅	xxmm
心心念念	xxnn
潇潇洒洒	xxss
虚虚实实	xxuu
夏至	xxvi
雄心壮志	xxvv
遐想	xxxl
下限	xxxm
先下一城	xxyi
心心相印	xxxy
小心眼	xxy
香消玉殒	xxyy
咸鱼翻身	xyfu
匈牙利	xyli
悬崖勒马	xylm
学有所成	xysi
心有所属	xysu
心有余悸	xyyj
心有余而力不足	xyyz
雅致	yavi
押运	yayy
引申	ybuf
以不变应万变	ybbb
以备不测	ybbc
欲罢不能	ybbn
摇摆不定	ybbd
引渡	ybdu
愚不可及	ybkj
眼波流转	yblv
一笔抹杀	ybmu
隐匿	ybni
一表人才	ybrc
用兵如神	ybru
要不要紧	ybyj
隐约	ybyt
阴郁	ybyu
有板有眼	ybyy
一兵一卒	ybyz
一寸光阴一寸金	ycgj
由此及彼	ycjb
由此可见	yckj
耀眼	ycyj
有得必有失	ydbu
愿赌服输	ydfu
有胆有识	ydyu
衣冠不整	ygbv
衣冠禽兽	ygqu
有何不可	yhbk
银河倒泻	yhdx
一回生二回熟	yhuu
有话直说	yhvu
养虎为患	yhwh
养颜	yhyj
养育	yhyu
一成不变	yibb
扬长避短	yibd
一尘不染	yibr
阳春白雪	yibx
以诚待人	yidr
一锤定音	yidy
依附	yifu
摇唇鼓舌	yigu
寅吃卯粮	yiml
遗嘱	yivu
遗忘	yiwh
羊肠小道	yixd
阴差阳错	yiyc
越扯越远	yiyy
一击毙命	yjbm
油尽灯枯	yjdk
衣锦还乡	yjhx
演唱	yjih
严谨	yjjb
眼镜	yjjk
义结金兰	yjjl
严苛	yjke
冤家路窄	yjlv
俨然	yjrj
延伸	yjuf
掩饰	yjui
炎症	yjvg
一技之长	yjvi
一己之私	yjvs
远见卓识	yjvu
欲加之罪	yjvz
厌恶	yjwu
以儆效尤	yjxy
言尽于此	yjyc
咬紧牙关	yjyg
有口难言	ykny
影射	ykue
哑口无言	ykwy
有利无害	ylwh
由来已久	ylyj
榆木疙瘩	ymgd
有模有样	ymyy
有情人终成眷属	yqru
于情于理	yqyl
阴晴圆缺	yqyq
有权有势	yqyu
一日不见	yrbj
用人不疑，疑人不用	yrby
一人得道	yrdd
一荣俱荣	yrjr
冤家	yrjx
怨气	yrqi
源泉	yrqr
跃然纸上	yrvu
一日为师，终生为父	yrwf
冤枉	yrwh
阅人无数	yrwu
音容笑貌	yrxm
缘由	yryz
一人做事一人当	yrzd
一丝不挂	ysbg
伊斯兰教	yslj
摇头摆尾	ytbw
油头滑脑	ythn
有条有理	ytyl
怨天尤人	ytyr
一声不吭	yubk
愈发	yufa
有伤风化	yufh
迂腐	yufu
浴缸	yugh
与世隔绝	yugj
引蛇出洞	yuid
雨季	yuji
远水解不了近渴	yujk
一石激起千层浪	yujl
雨露	yulu
衣衫褴褛	yull
预期	yuqi
一身是胆	yuud
一试身手	yuuu
有识之士	yuvu
云山雾罩	yuwv
衣食无忧	yuwy
以身相许	yuxx
摇身一变	yuyb
寓意	yuyi
预言	yuyj
有生以来	yuyl
以势压人	yuyr
有声有色	yuys
愉悦	yuyt
阴盛阳衰	yuyu
有说有笑	yuyx
莺声燕语	yuyy
怨声载道	yuzd
咬舌自尽	yuzj
言之有理	yvyl
言之有物	yvyw
意味深长	ywui
余味无穷	ywwq
言为心声	ywxu
一星半点	yxbd
英雄不问出处	yxbi
一心不能二用	yxby
以小人之心，度君子之腹	yxrf
一线生机	yxuj
欲仙欲死	yxys
言笑晏晏	yxyy
以怨报德	yybd
一夜暴富	yybf
油盐不进	yybj
怏怏不乐	yybl
有眼不识泰山	yybu
抑扬顿挫	yydc
一拥而上	yyeu
因噎废食	yyfu
晕晕乎乎	yyhh
以眼还眼	yyhy
晕晕沉沉	yyii
异于常人	yyir
一语惊醒梦中人	yyjr
阴雨连绵	yylm
烟雨蒙蒙	yymm
一言难尽	yynj
有缘千里来相会	yyqh
咬牙切齿	yyqi
洋洋洒洒	yyss
应有之义	yyvy
引以为戒	yywj
依依惜别	yyxb
炎炎夏日	yyxr
牙牙学语	yyxy
跃跃欲试	yyyu
摇摇欲坠	yyyv
一言一行	yyyx
犹犹豫豫	yyyy
优点	yzdm
以资鼓励	yzgl
忧愁	yziz
右键	yzjm
有理	yzli
一走了之	yzlv
优质	yzvi
有增无减	yzwj
优先	yzxm
游泳	yzys
犹豫	yzyu
匝道	zadc
自驾	zijx
姿色	zise
紫砂	ziua
自助	zivu
自愿	ziyr
自成一家	ziyj
自成一体	ziyt
坐实	zoui
坐失良机	zulj
足矣	zuyi
嘴上一套	zuyt
载誉归来	zygl
自怨自艾	zyzy
$cmd(辫,辫)	bmls
单元	dye
回忆	hyx
$cmd(智,智)	viud
$cmd(计,计)	jiyd
简洁	jjd
精力	jlv
基于	jya
截至	jva
距离	jlw
记忆	jyx
梳理	ulw
事实	uub
哲理	vlw
置顶	vdd
指示	vue
指挥	vhf
想想	xxm
音形	yxk
觉得	jdi
刻意	kys
