,﻿
媚,me4i
门,me2n
闷,me4n
们,men
萌,me2ng
蒙,me2ng
檬,me2ng
盟,me2ng
锰,me3ng
猛,me3ng
梦,me4ng
孟,me4ng
眯,mi1
醚,mi2
靡,mi2
糜,mi2
迷,mi2
谜,mi2
弥,mi2
米,mi3
秘,mi4
觅,mi4
泌,mi4
蜜,mi4
密,mi4
幂,mi4
棉,mia2n
眠,mia2n
绵,mia2n
冕,mia3n
免,mia3n
勉,mia3n
娩,mia3n
缅,mia3n
面,mia4n
苗,mia2o
描,mia2o
瞄,mia2o
藐,mia3o
秒,mia3o
渺,mia3o
庙,mia4o
妙,mia4o
蔑,mie4
灭,mie4
民,mi2n
抿,mi3n
皿,mi3n
敏,mi3n
悯,mi3n
闽,mi3n
明,mi2ng
螟,mi2ng
鸣,mi2ng
铭,mi2ng
名,mi2ng
命,mi4ng
谬,miu4
摸,mo1
腀,lu2n
腁,pia2n
腂,le3i
腃,kui4
腄,chui2
腅,da4n
腇,ne3i
腉,na2i
腍,re4n
腎,she4n
腏,chuo4
腒,ju1
腖,do4ng
腗,pi2
腘,guo2
腛,wo4
腜,me2i
腝,ni2
腞,zhua4n
腟,chi4
腡,luo2
腢,o3u
腣,di4
腤,a1n
腦,na3o
腨,shua4n
腪,yu4n
腫,zho3ng
腬,ro2u
腯,tu2
腲,we3i
腳,jia3o
腵,jia1
腶,dua4n
腷,bi4
腸,cha2ng
膁,qia3n
膃,wa4
膄,sho4u
膅,ta2ng
膆,su4
膇,zhui4
膉,yi4
膋,lia2o
膌,ji2
膍,pi2
膎,xie2
膐,lv3
膒,o1u
膓,cha2ng
膔,lu4
膕,guo2
膖,pa1ng
膗,chua2i
膙,jia3ng
膚,fu1
膞,zhua1n
膟,lv4
膠,jia1o
膡,yi4ng
膢,lv2
膤,xue3
膥,cu1n
膧,to2ng
膩,ni4
膫,lia2o
膬,cui4
膭,gui1
膮,xia1o
膯,te1ng
膰,fa2n
膱,zhi2
膲,jia1o
膴,hu1
膵,cui4
膶,ru4n
膷,xia1ng
膸,sui3
膹,fe4n
膼,zhua1
膽,da3n
膾,kua4i
膿,no2ng
臄,jue2
臅,chu4
臇,jua3n
臈,la4
臉,lia3n
臋,tu2n
臍,qi2
臎,cui4
臏,bi4n
臐,xu1n
臑,na4o
臒,wo4
臓,za4ng
摹,mo2
蘑,mo2
模,mo2
膜,mo2
磨,mo2
摩,mo2
魔,mo2
抹,mo3
末,mo4
莫,mo4
墨,mo4
默,mo4
沫,mo4
漠,mo4
寞,mo4
陌,mo4
谋,mo2u
牟,mo2u
某,mo3u
拇,mu3
牡,mu3
亩,mu3
姆,mu3
母,mu3
墓,mu4
暮,mu4
幕,mu4
募,mu4
慕,mu4
木,mu4
目,mu4
睦,mu4
牧,mu4
穆,mu4
拿,na2
哪,na3
呐,na4
钠,na4
那,na4
娜,na4
纳,na4
氖,na3i
乃,na3i
奶,na3i
耐,na4i
奈,na4i
南,na2n
男,na2n
难,na2n
囊,na2ng
挠,na2o
脑,na3o
恼,na3o
闹,na4o
淖,na4o
呢,ne
馁,ne3i
内,ne4i
嫩,ne4n
能,ne2ng
妮,ni1
霓,ni2
倪,ni2
泥,ni2
尼,ni2
拟,ni3
你,ni3
匿,ni4
腻,ni4
逆,ni4
溺,ni4
蔫,nia1n
拈,nia1n
年,nia2n
碾,nia3n
撵,nia3n
捻,nia3n
念,nia4n
娘,nia2ng
酿,nia4ng
鸟,nia3o
尿,nia4o
捏,nie1
聂,nie4
孽,nie4
啮,nie4
镊,nie4
镍,nie4
涅,nie4
您,ni2n
柠,ni2ng
狞,ni2ng
凝,ni2ng
宁,ni2ng
臔,xia4n
臕,bia1o
臖,xi4ng
臗,kua1n
臘,la4
臙,ya1n
臚,lu2
臛,huo4
臜,za1
臝,luo3
臞,qu2
臟,za4ng
臠,lua2n
臡,ni2
臢,za1
臤,qia1n
臥,wo4
臦,gua4ng
臨,li2n
臩,gua3ng
臫,jia3o
臮,ji4
臯,ga1o
臰,cho4u
臱,mia2n
臲,nie4
臵,ge2
臶,jia4n
臷,die2
臸,zhi1
臹,xiu1
臺,ta2i
臽,xia4n
臿,cha1
舃,xi4
與,yu3
興,xi4ng
舉,ju3
舊,jiu4
舋,xi4n
舎,she4
舏,jiu3
舑,ta1n
舓,shi4
舕,ta4n
舖,pu4
舗,pu4
舘,gua3n
舙,hua4
舚,tia4n
舝,xia2
舠,da1o
舤,fa2n
舥,pa1
舦,ta4i
舧,fa2n
舩,chua2n
舮,lu2
舲,li2ng
舺,xia2
舼,qio2ng
舽,pa2ng
舿,kua1
艀,fu2
艁,za4o
艂,fe2ng
艃,li2
艅,yu2
艆,la2ng
艈,yu4
艊,bo2
艌,nia4n
艍,ju1
艎,hua2ng
艐,ke4
艑,bia4n
艒,mu4
艓,die2
艔,da4o
艕,ba4ng
艖,cha1
艗,yi4
艙,ca1ng
艛,lo2u
艜,da4i
艝,xue3
艞,ya4o
艠,de1ng
艡,da1ng
艢,qia2ng
艣,lu3
艤,yi3
艥,ji2
艦,jia4n
艧,huo4
艩,qi2
拧,ni2ng
泞,ni4ng
牛,niu2
扭,niu3
钮,niu3
纽,niu3
脓,no2ng
浓,no2ng
农,no2ng
弄,no4ng
奴,nu2
努,nu3
怒,nu4
女,nv3
暖,nua3n
虐,nve4
疟,nve4
挪,nuo2
懦,nuo4
糯,nuo4
诺,nuo4
哦,o2
欧,o1u
鸥,o1u
殴,o1u
藕,o3u
呕,o3u
偶,o3u
沤,o1u
啪,pa1
趴,pa1
爬,pa2
帕,pa4
怕,pa4
琶,pa2
拍,pa1i
排,pa2i
牌,pa2i
徘,pa2i
湃,pa4i
派,pa4i
攀,pa1n
潘,pa1n
盘,pa2n
磐,pa2n
盼,pa4n
畔,pa4n
判,pa4n
叛,pa4n
乓,pa1ng
庞,pa2ng
旁,pa2ng
耪,pa3ng
胖,pa4ng
抛,pa1o
咆,pa2o
刨,pa2o
炮,pa4o
袍,pa2o
跑,pa3o
泡,pa4o
呸,pe1i
胚,pe1i
培,pe2i
裴,pe2i
赔,pe2i
陪,pe2i
配,pe4i
佩,pe4i
沛,pe4i
喷,pe1n
盆,pe2n
砰,pe1ng
抨,pe1ng
烹,pe1ng
澎,pe1ng
彭,pe2ng
蓬,pe2ng
棚,pe2ng
硼,pe2ng
篷,pe2ng
膨,pe2ng
朋,pe2ng
鹏,pe2ng
捧,pe3ng
碰,pe4ng
坯,pi1
砒,pi1
霹,pi1
批,pi1
披,pi1
劈,pi1
琵,pi2
毗,pi2
艪,lu3
艫,lu2
艬,cha2n
艭,shua1ng
艱,jia1n
艵,pi1ng
艶,ya4n
艷,ya4n
艸,ca3o
艻,le4
艼,ti1ng
芀,tia2o
芁,jia1o
芃,pe2ng
芅,yi4
芆,cha1i
芇,mia2n
芉,ga1n
芌,yu4
芐,hu4
芓,zi4
芔,hui4
芕,sui1
芖,zhi4
芚,tu2n
芛,we3i
芞,qi4
芠,we2n
芢,re2n
芣,fu2
芧,xu4
芲,hua1
芵,jue2
芶,go3u
芺,a3o
芻,chu2
芼,ma4o
芿,re4ng
苀,ha2ng
苂,yi2n
苃,yo3u
苅,yi4
苆,qie1
苉,pi3
苐,ti2
苖,di2
苙,li4
苚,yo4ng
苝,be4i
苢,yi3
苧,ni2ng
苨,ni3
苩,bo2
苪,bi3ng
苬,xiu2
苭,ya3o
苮,xia1n
苰,ho2ng
苲,zha3
苳,do1ng
苵,die2
苶,nie2
苸,hu1
苺,me2i
苼,she1ng
苽,gu1
苾,bi4
苿,we4i
茀,fu2
茊,zi1
茋,zhi3
茍,ji4
茐,co1ng
茒,yua2n
茓,xue2
茖,ge2
茘,li4
茙,ro2ng
茝,cha3i
茞,che2n
茟,yu4
茠,ha1o
茡,zi4
茢,lie4
茣,wu2
茤,ji4
茥,gui1
茦,ci4
茩,go4u
茪,gua1ng
茮,jia1o
茰,yu2
茲,zi1
茷,fa2
茻,ma3ng
茽,zho4ng
啤,pi2
脾,pi2
疲,pi2
皮,pi2
匹,pi3
痞,pi3
僻,pi4
屁,pi4
譬,pi4
篇,pia1n
偏,pia1n
片,pia4n
骗,pia4n
飘,pia1o
漂,pia1o
瓢,pia2o
票,pia4o
撇,pie1
瞥,pie1
拼,pi1n
频,pi2n
贫,pi2n
品,pi3n
聘,pi4n
乒,pi1ng
坪,pi2ng
苹,pi2ng
萍,pi2ng
平,pi2ng
凭,pi2ng
瓶,pi2ng
评,pi2ng
屏,pi2ng
坡,po1
泼,po1
颇,po3
婆,po2
破,po4
魄,po4
迫,po4
粕,po4
剖,po1u
扑,pu1
铺,pu4
仆,pu1
莆,pu2
葡,pu2
菩,pu2
蒲,pu2
埔,pu3
朴,pu3
圃,pu3
普,pu3
浦,pu3
谱,pu3
曝,pu4
瀑,pu4
期,qi1
欺,qi1
栖,qi1
戚,qi1
妻,qi1
七,qi1
凄,qi1
漆,qi1
柒,qi1
沏,qi1
其,qi2
棋,qi2
奇,qi2
歧,qi2
畦,qi2
崎,qi2
脐,qi2
齐,qi2
旗,qi2
祈,qi2
祁,qi2
骑,qi2
起,qi3
岂,qi3
乞,qi3
企,qi3
启,qi3
契,qi4
砌,qi4
器,qi4
气,qi4
迄,qi4
弃,qi4
汽,qi4
泣,qi4
讫,qi4
掐,qia1
茾,qia1n
茿,zhu2
荁,hua2n
荂,fu1
荄,ga1i
荅,da1
荈,chua3n
荊,ji1ng
荋,e2r
荌,a4n
荍,qia2o
荎,chi2
荓,pi2ng
荕,ji1n
荖,la3o
荗,shu4
荘,zhua1ng
荙,da2
荝,ce4
荢,zi4
荰,du4
荱,we3i
荲,li2
荳,do4u
荴,fu1
荵,re3n
荶,yi2n
荹,bu4
荺,yu3n
荾,sui1
荿,che2ng
莀,che2n
莁,wu2
莂,bie2
莃,xi1
莄,ge3ng
莇,zhu4
莈,mo4
莊,zhua1ng
莋,zuo2
莌,tuo1
莍,qiu2
莏,suo1
莐,che2n
莑,pe2ng
莔,me2ng
莕,xi4ng
莖,ji1ng
莗,che1
莙,ju1n
莚,ya2n
莝,cuo4
莟,ha4n
莡,cuo4
莢,jia2
莣,wa2ng
莤,su4
莥,niu3
莦,sha1o
莧,xia4n
莬,we4n
莭,jie2
莮,na2n
莯,mu4
莵,tu4
莻,go4ng
莾,ma3ng
莿,ci4
菂,di4
菃,qu2
菄,do1ng
菆,zo1u
菈,la1
菉,lu4
菋,we4i
菍,nie4
菎,ku1n
菐,pu2
菑,za1i
菒,ga3o
菓,guo3
菕,lu2n
菗,cho2u
菙,chui2
菚,zha4n
菛,me2n
菞,li2
菢,ba4o
菣,qi4n
菤,jua3n
菦,qi2n
菧,di3
菨,jie1
菫,ji3n
菬,qia2o
菭,ta2i
恰,qia4
洽,qia4
牵,qia1n
扦,qia1n
钎,qia1n
铅,qia1n
千,qia1n
迁,qia1n
签,qia1n
仟,qia1n
谦,qia1n
乾,qia2n
黔,qia2n
钱,qia2n
钳,qia2n
前,qia2n
潜,qia2n
遣,qia3n
浅,qia3n
谴,qia3n
堑,qia4n
嵌,qia4n
欠,qia4n
歉,qia4n
枪,qia1ng
呛,qia1ng
腔,qia1ng
羌,qia1ng
墙,qia2ng
蔷,qia2ng
强,qia2ng
抢,qia3ng
橇,qia1o
锹,qia1o
敲,qia1o
悄,qia1o
桥,qia2o
瞧,qia2o
乔,qia2o
侨,qia2o
巧,qia3o
鞘,qia4o
撬,qia4o
翘,qia4o
峭,qia4o
俏,qia4o
窍,qia4o
切,qie4
茄,jia1
且,qie3
怯,qie4
窃,qie4
钦,qi1n
侵,qi1n
亲,qi1n
秦,qi2n
琴,qi2n
勤,qi2n
芹,qi2n
擒,qi2n
禽,qi2n
寝,qi3n
沁,qi4n
青,qi1ng
轻,qi1ng
氢,qi1ng
倾,qi1ng
卿,qi1ng
清,qi1ng
擎,qi2ng
晴,qi2ng
氰,qi2ng
情,qi2ng
顷,qi3ng
请,qi3ng
庆,qi4ng
琼,qio2ng
穷,qio2ng
秋,qiu1
丘,qiu1
邱,qiu1
球,qiu2
求,qiu2
囚,qiu2
酋,qiu2
泅,qiu2
趋,qu1
区,qu1
蛆,qu1
曲,qu1
躯,qu1
屈,qu1
驱,qu1
渠,qu2
菮,ge1ng
華,hua2
菳,qi2n
菴,a1n
菵,wa3ng
菶,be3ng
菷,zho3u
菺,jia1n
菻,li3n
菼,ta3n
菾,tia2n
菿,da4o
萀,hu3
萂,he2
萅,chu1n
萇,cha2ng
萈,hua2n
萉,fe4i
萊,la2i
萐,sha4
萒,ya3n
萓,yi2
萔,tia2o
萕,qi2
萖,wa3n
萗,ce4
萙,zhe3n
萚,tuo4
萛,jiu1
萞,bi4
萟,yi4
萠,pa1n
萡,bo
萢,pa1o
萣,di4ng
萩,qiu1
萪,ke1
萫,xia4ng
萬,wa4n
萭,yu3
萮,yu2
萯,fu4
萰,lia4n
萲,xua1n
萳,na3n
萴,ce4
萵,wo1
萶,chu3n
萷,xia1o
萹,bia3n
萺,ma4o
萻,a1n
萾,yi2ng
萿,kuo4
葀,kuo4
葁,jia1ng
葂,mia3n
葃,zuo4
葄,zuo4
葅,zu1
葇,ro2u
葈,xi3
葉,ye4
葊,a1n
葋,qu2
葌,jia1n
葍,fu2
葎,lv4
葏,ji1ng
葐,pe2n
葒,ho2ng
葓,ho2ng
葔,ho2u
葕,ya4n
葖,tu1
葘,zi1
葝,qi2ng
葞,mi3
葟,hua2ng
葠,she1n
葢,ga4i
葤,zho4u
葥,jia4n
葦,we3i
葧,bo2
葨,we1i
葪,ji4
葮,dua4n
葯,ya4o
葰,sui1
葲,qua2n
葴,zhe1n
葷,hu1n
葹,shi1
葻,la2n
葼,zo1ng
取,qu3
娶,qu3
龋,qu3
趣,qu4
去,qu4
圈,qua1n
颧,qua2n
权,qua2n
醛,qua2n
泉,qua2n
全,qua2n
痊,qua2n
拳,qua2n
犬,qua3n
券,qua4n
劝,qua4n
缺,que1
炔,gui4
瘸,que2
却,que4
鹊,que4
榷,que4
确,que4
雀,que4
裙,qu2n
群,qu2n
然,ra2n
燃,ra2n
冉,ra3n
染,ra3n
瓤,ra2ng
壤,ra3ng
攘,ra3ng
嚷,ra3ng
让,ra4ng
饶,ra2o
扰,ra3o
绕,ra4o
惹,re3
热,re4
壬,re2n
仁,re2n
人,re2n
忍,re3n
韧,re4n
任,re4n
认,re4n
刃,re4n
妊,re4n
纫,re4n
扔,re1ng
仍,re2ng
日,ri4
戎,ro2ng
茸,ro1ng
蓉,ro2ng
荣,ro2ng
融,ro2ng
熔,ro2ng
溶,ro2ng
容,ro2ng
绒,ro2ng
冗,ro3ng
揉,ro2u
柔,ro2u
肉,ro4u
茹,ru2
蠕,ru2
儒,ru2
孺,ru2
如,ru2
辱,ru3
乳,ru3
汝,ru3
入,ru4
褥,ru4
软,rua3n
阮,rua3n
蕊,rui3
瑞,rui4
锐,rui4
闰,ru4n
润,ru4n
若,ruo4
弱,ruo4
撒,sa1
洒,sa3
萨,sa4
腮,sa1i
鳃,sa1i
塞,sa1i
赛,sa4i
三,sa1n
叁,sa1n
葽,ya1o
葾,yua1n
葿,me2i
蒀,yu1n
蒁,shu4
蒃,zhua4n
蒄,gua1n
蒅,ra3n
蒆,xue1
蒊,hua1
蒍,we3i
蒏,you
蒐,so1u
蒑,yi1n
蒒,shi1
蒓,chu2n
蒔,shi2
蒕,yu1n
蒖,zhe1n
蒘,ru2
蒚,li4
蒛,que1
蒝,yua2n
蒞,li4
蒟,ju3
蒠,xi1
蒢,chu2
蒣,xu2
蒤,tu2
蒥,liu2
蒦,huo4
蒧,dia3n
蒨,qia4n
蒩,zu1
蒪,po4
蒫,cuo2
蒬,yua1n
蒭,chu2
蒮,yu4
蒰,pa2n
蒱,pu2
蒳,na4
蒵,xi2
蒶,fe2n
蒷,yu2n
蒻,ruo4
蒼,ca1ng
蒾,mi2
蓀,su1n
蓂,mi2ng
蓃,so1u
蓅,liu2
蓆,xi2
蓇,gu3
蓈,la2ng
蓋,ga4i
蓌,cuo4
蓎,ta2ng
蓏,luo3
蓒,xua1n
蓔,ya3o
蓕,gui4
蓗,zo3ng
蓘,gu3n
蓙,zuo4
蓚,tia2o
蓛,ce4
蓜,pe4i
蓞,da4n
蓡,she1n
蓢,la3ng
蓤,li2ng
蓧,dia4o
蓨,tia2o
蓩,ma3o
蓪,to1ng
蓫,chu4
蓭,a1n
蓮,lia2n
蓯,co1ng
蓱,pi2ng
蓲,qiu1
蓳,ji3n
蓴,chu2n
蓵,jie2
蓶,we2i
蓷,tui1
蓸,ca2o
蓹,yu4
蓺,yi4
蓻,zi2
蓽,bi4
蓾,lu3
蔀,bu4
蔁,zha1ng
蔂,le2i
伞,sa3n
散,sa4n
桑,sa1ng
嗓,sa3ng
丧,sa4ng
搔,sa1o
骚,sa1o
扫,sa3o
嫂,sa3o
瑟,se4
色,se4
涩,se4
森,se1n
僧,se1ng
莎,sha1
砂,sha1
杀,sha1
刹,sha1
沙,sha1
纱,sha1
傻,sha3
啥,sha2
煞,sha1
筛,sha1i
晒,sha4i
珊,sha1n
苫,sha1n
杉,sha1n
山,sha1n
删,sha1n
煽,sha1n
衫,sha1n
闪,sha3n
陕,sha3n
擅,sha4n
赡,sha4n
膳,sha4n
善,sha4n
汕,sha4n
扇,sha4n
缮,sha4n
墒,sha1ng
伤,sha1ng
商,sha1ng
赏,sha3ng
晌,sha3ng
上,sha4ng
尚,sha4ng
裳,shang
梢,sha1o
捎,sha1o
稍,sha1o
烧,sha1o
芍,sha2o
勺,sha2o
韶,sha2o
少,sha3o
哨,sha4o
邵,sha4o
绍,sha4o
奢,she1
赊,she1
蛇,she2
舌,she2
舍,she3
赦,she4
摄,she4
射,she4
慑,she4
涉,she4
社,she4
设,she4
砷,she1n
申,she1n
呻,she1n
伸,she1n
身,she1n
深,she1n
娠,she1n
绅,she1n
神,she2n
沈,she3n
审,she3n
婶,she3n
甚,she4n
肾,she4n
慎,she4n
渗,she4n
声,she1ng
生,she1ng
甥,she1ng
牲,she1ng
升,she1ng
绳,she2ng
蔃,qia2ng
蔄,ma4n
蔅,ya2n
蔆,li2ng
蔇,ji4
蔈,bia1o
蔉,gu3n
蔊,ha3n
蔋,di2
蔍,lu4
蔎,she4
蔏,sha1ng
蔐,di2
蔒,xu1n
蔔,bo2
蔕,di4
蔖,cuo2
蔘,she1n
蔙,xua4n
蔛,hu2
蔜,a2o
蔝,mi3
蔞,lo2u
蔠,zho1ng
蔢,po2
蔣,jia3ng
蔤,mi4
蔥,co1ng
蔦,nia3o
蔧,hui4
蔨,jua4n
蔩,yi2n
蔪,jia4n
蔭,yi1n
蔮,guo2
蔯,che2n
蔰,hu4
蔱,sha1
蔲,ko4u
蔳,qia4n
蔴,ma2
蔵,za1ng
蔶,ze2
蔾,li2
蔿,we3i
蕀,ji2
蕁,qia2n
蕂,she4ng
蕄,me2ng
蕅,o3u
蕆,cha3n
蕇,dia3n
蕋,rui3
蕌,le3i
蕍,yu2
蕎,qia2o
蕏,chu2
蕐,hua2
蕑,jia1n
蕒,ma3i
蕓,yu2n
蕔,ba1o
蕕,yo2u
蕗,lu4
蕘,ra2o
蕚,e4
蕛,ti2
蕜,fe3i
蕝,jue2
蕟,fa4
蕠,ru2
蕡,fe2n
蕢,kui4
蕣,shu4n
蕥,ya3
蕦,xu1
蕧,fu4
蕩,da4ng
蕪,wu2
蕫,do3ng
蕬,si1
蕭,xia1o
蕮,xi4
蕯,lo2ng
蕰,we1n
蕱,sha1o
蕳,jia1n
蕵,su1n
蕶,li2ng
蕷,yu4
蕸,xia2
蕼,si4
蕽,no2ng
蕿,xua1n
薀,yu4n
薁,yu4
省,she3ng
盛,she4ng
剩,she4ng
胜,she4ng
圣,she4ng
师,shi1
失,shi1
狮,shi1
施,shi1
湿,shi1
诗,shi1
尸,shi1
虱,shi1
十,shi2
石,shi2
拾,shi2
时,shi2
什,she2n
食,shi2
蚀,shi2
实,shi2
识,shi2
史,shi3
矢,shi3
使,shi3
屎,shi3
驶,shi3
始,shi3
式,shi4
示,shi4
士,shi4
世,shi4
柿,shi4
事,shi4
拭,shi4
誓,shi4
逝,shi4
势,shi4
是,shi4
嗜,shi4
噬,shi4
适,shi4
仕,shi4
侍,shi4
释,shi4
饰,shi4
氏,shi4
市,shi4
恃,shi4
室,shi4
视,shi4
试,shi4
收,sho1u
手,sho3u
首,sho3u
守,sho3u
寿,sho4u
授,sho4u
售,sho4u
受,sho4u
瘦,sho4u
兽,sho4u
蔬,shu1
枢,shu1
梳,shu1
殊,shu1
抒,shu1
输,shu1
叔,shu1
舒,shu1
淑,shu1
疏,shu1
书,shu1
赎,shu2
孰,shu2
熟,shu2
薯,shu3
暑,shu3
曙,shu3
署,shu3
蜀,shu3
黍,shu3
鼠,shu3
属,shu3
术,shu4
述,shu4
树,shu4
束,shu4
戍,shu4
竖,shu4
墅,shu4
庶,shu4
数,shu4
漱,shu4
薂,xi2
薃,ha4o
薆,a4i
薈,hui4
薉,hui4
薊,ji4
薋,ci2
薌,xia1ng
薍,wa4n
薎,mie4
薐,le2ng
薑,jia1ng
薒,ca4n
薓,she1n
薔,qia2ng
薕,lia2n
薖,ke1
薗,yua2n
薘,da2
薙,ti4
薚,ta1ng
薝,zha1n
薞,su1n
薟,xia1n
薠,fa2n
薡,di3ng
薢,xie4
薣,gu3
薥,shu3
薦,jia4n
薧,ha1o
薩,sa4
薫,xu1n
薬,ya4o
薭,ba4i
薱,dui4
薲,pi2n
薳,we3i
薴,ni2ng
薵,cho2u
薶,ma2i
薸,pia2o
薺,ji4
薻,za3o
薼,che2n
薽,zhe1n
薾,e3r
薿,ni3
藀,yi2ng
藂,co2ng
藃,xia1o
藄,qi2
藅,fa2
藆,jia3n
藇,xu4
藈,kui2
藊,bia3n
藋,dia4o
藌,mi4
藍,la2n
藎,ji4n
藑,qio2ng
藒,qie4
藔,lia2o
藖,xia2n
藗,su4
藘,lv2
藙,yi4
藚,xu4
藛,xie3
藝,yi4
藞,la3
藟,le3i
藠,jia4o
藡,di2
藢,zhi3
藣,be1i
藥,ya4o
藦,mo4
藧,hua4n
藨,bia1o
藪,so3u
藫,ta2n
藬,tui1
藭,qio2ng
藮,qia2o
藯,we4i
藰,liu2
藱,hui4
藲,o1u
藳,ga3o
藴,yu4n
藵,ba3o
藶,li4
藷,shu3
藸,chu2
恕,shu4
刷,shua1
耍,shua3
摔,shua1i
衰,shua1i
甩,shua3i
帅,shua4i
栓,shua1n
拴,shua1n
霜,shua1ng
双,shua1ng
爽,shua3ng
谁,shui2
水,shui3
睡,shui4
税,shui4
吮,shu3n
瞬,shu4n
顺,shu4n
舜,shu4n
说,shuo1
硕,shuo4
朔,shuo4
烁,shuo4
斯,si1
撕,si1
嘶,si1
思,si1
私,si1
司,si1
丝,si1
死,si3
肆,si4
寺,si4
嗣,si4
四,si4
伺,ci4
似,shi4
饲,si4
巳,si4
松,so1ng
耸,so3ng
怂,so3ng
颂,so4ng
送,so4ng
宋,so4ng
讼,so4ng
诵,so4ng
搜,so1u
艘,so1u
擞,so3u
嗽,so4u
苏,su1
酥,su1
俗,su2
素,su4
速,su4
粟,su4
僳,su4
塑,su4
溯,su4
宿,su4
诉,su4
肃,su4
酸,sua1n
蒜,sua4n
算,sua4n
虽,sui1
隋,sui2
随,sui2
绥,sui2
髓,sui3
碎,sui4
岁,sui4
穗,sui4
遂,sui4
隧,sui4
祟,sui4
孙,su1n
损,su3n
笋,su3n
蓑,suo1
梭,suo1
唆,suo1
缩,suo1
琐,suo3
索,suo3
锁,suo3
所,suo3
塌,ta1
他,ta1
它,ta1
她,ta1
塔,ta3
藹,a3i
藺,li4n
藼,xua1n
藽,qi4n
藾,la4i
蘀,tuo4
蘁,wu4
蘂,rui3
蘃,rui3
蘄,qi2
蘆,lu2
蘇,su1
蘈,tui2
蘉,me2ng
蘊,yu4n
蘋,pi2ng
蘌,yu3
蘍,xu1n
蘎,ji4
蘏,jio1ng
蘐,xua1n
蘒,qiu1
蘓,su1
蘔,jio1ng
蘕,pe2ng
蘗,bo4
蘘,ra2ng
蘙,yi4
蘚,xia3n
蘛,yu2
蘜,ju2
蘝,lia3n
蘞,lia3n
蘟,yi3n
蘠,qia2ng
蘡,yi1ng
蘢,lo2ng
蘣,to3u
蘤,hua1
蘥,yue4
蘦,li2ng
蘨,ya2o
蘪,me2i
蘫,ha4n
蘬,kui1
蘭,la2n
蘮,ji4
蘯,da4ng
蘰,ma4n
蘱,le4i
蘲,le2i
蘳,hui1
蘴,fe1ng
蘵,zhi1
蘶,we4i
蘷,kui2
蘹,hua2i
蘺,li2
蘻,ji4
蘽,le3i
蘾,hua4i
蘿,luo2
虀,ji1
虁,kui2
虂,lu4
虃,jia1n
虄,sa4
虅,te2ng
虆,le2i
虇,qua3n
虈,xia1o
虉,yi4
虊,lua2n
虋,me2n
虌,bie1
虒,si1
虓,xia1o
處,chu4
虖,hu1
虗,xu1
虘,cuo2
虙,fu2
虛,xu1
虜,lu3
虝,hu3
號,ha4o
虠,jia1o
虡,ju4
虣,ba4o
虤,ya2n
虥,zha4n
虦,zha4n
虧,kui1
虨,bi1n
虩,xi4
虪,shu4
獭,ta3
挞,ta4
蹋,ta4
踏,ta4
胎,ta1i
苔,ta2i
抬,ta2i
台,ta2i
泰,ta4i
酞,ta4i
太,ta4i
态,ta4i
汰,ta4i
坍,ta1n
摊,ta1n
贪,ta1n
瘫,ta1n
滩,ta1n
坛,ta2n
檀,ta2n
痰,ta2n
潭,ta2n
谭,ta2n
谈,ta2n
坦,ta3n
毯,ta3n
袒,ta3n
碳,ta4n
探,ta4n
叹,ta4n
炭,ta4n
汤,ta1ng
塘,ta2ng
搪,ta2ng
堂,ta2ng
棠,ta2ng
膛,ta2ng
唐,ta2ng
糖,ta2ng
倘,ta3ng
躺,ta3ng
淌,ta3ng
趟,ta4ng
烫,ta4ng
掏,ta1o
涛,ta1o
滔,ta1o
绦,ta1o
萄,ta2o
桃,ta2o
逃,ta2o
淘,ta2o
陶,ta2o
讨,ta3o
套,ta4o
特,te4
藤,te2ng
腾,te2ng
疼,te2ng
誊,te2ng
梯,ti1
剔,ti1
踢,ti1
锑,ti1
提,ti2
题,ti2
蹄,ti2
啼,ti2
体,ti3
替,ti4
嚏,ti4
惕,ti4
涕,ti4
剃,ti4
屉,ti4
天,tia1n
添,tia1n
填,tia2n
田,tia2n
甜,tia2n
恬,tia2n
舔,tia3n
腆,tia3n
挑,tia1o
条,tia2o
迢,tia2o
眺,tia4o
跳,tia4o
贴,tie1
铁,tie3
帖,tie1
厅,ti1ng
听,ti1ng
烃,ti1ng
虭,dia1o
虯,qiu2
虰,di1ng
虲,xia1
虳,jue2
虴,zhe2
虵,she2
虶,yu1
虷,ha2n
虸,zi3
蚃,xia3ng
蚄,fa1ng
蚅,e4
蚆,ba1
蚇,chi3
蚈,qia1n
蚉,we2n
蚎,yue4
蚏,yue4
蚐,ju1n
蚑,qi2
蚒,to2ng
蚔,qi2
蚖,yua2n
蚗,jue2
蚘,hui2
蚙,qi2n
蚚,qi2
蚛,zho4ng
蚞,mu4
蚟,wa2ng
蚠,fe2n
蚡,fe2n
蚢,ha2ng
蚥,fu4
蚦,ra2n
蚫,ba4o
蚭,ni2
蚮,da4i
蚲,pi2ng
蚳,chi2
蚷,ju4
蚸,li4
蚹,fu4
蚻,zha2
蚼,go3u
蚽,pi2
蚾,pi2
蚿,xia2n
蛁,dia1o
蛂,bie2
蛃,bi3ng
蛅,zha1n
蛈,tie3
蛌,gu3
蛍,yi2ng
蛒,ge2
蛓,ci4
蛕,hui2
蛖,ma2ng
蛗,fu4
蛚,lie4
蛜,yi1
蛝,xia2n
蛠,li4
蛡,yi4
蛢,pi2ng
蛣,qi1
蛥,she2
